PROBE_ID	ENTREZ_GENE_ID	SYMBOL
ILMN_1658660	70	ACTC1
ILMN_1829919	70	ACTC1
ILMN_2053178	71	ACTG1
ILMN_1704961	71	ACTG1
ILMN_1795325	72	ACTG2
ILMN_1749297	86	ACTL6A
ILMN_2328280	86	ACTL6A
ILMN_1657855	51412	ACTL6B
ILMN_1717900	10881	ACTL7A
ILMN_1796088	10880	ACTL7B
ILMN_1704078	81569	ACTL8
ILMN_2232177	87	ACTN1
ILMN_1654422	88	ACTN2
ILMN_1665691	89	ACTN3
ILMN_1725534	81	ACTN4
ILMN_1798254	55860	ACTR10
ILMN_1792314	10121	ACTR1A
ILMN_1695821	10120	ACTR1B
ILMN_2388605	10097	ACTR2
ILMN_1657153	10096	ACTR3
ILMN_2260392	57180	ACTR3B
ILMN_2346451	57180	ACTR3B
ILMN_1787513	57180	ACTR3B
ILMN_1680941	57180	ACTR3B
ILMN_1652594	79913	ACTR5
ILMN_1697585	64431	ACTR6
ILMN_1689162	93973	ACTR8
ILMN_1815392	139741	ACTRT1
ILMN_3241416	140625	ACTRT2
ILMN_1760490	90	ACVR1
ILMN_1786544	91	ACVR1B
ILMN_1763916	91	ACVR1B
ILMN_2243308	91	ACVR1B
ILMN_1766723	91	ACVR1B
ILMN_1689217	130399	ACVR1C
ILMN_1670912	92	ACVR2A
ILMN_2152711	92	ACVR2A
ILMN_1668983	93	ACVR2B
ILMN_1824337	93	ACVR2B
ILMN_1807493	94	ACVRL1
ILMN_3250257	94	ACVRL1
ILMN_1683883	95	ACY1
ILMN_1670193	91703	ACY3
ILMN_2319825	97	ACYP1
ILMN_1694233	97	ACYP1
ILMN_1686432	97	ACYP1
ILMN_1697550	98	ACYP2
ILMN_2158705	98	ACYP2
ILMN_1803686	100	ADA
ILMN_1745580	132612	ADAD1
ILMN_1745108	161931	ADAD2
ILMN_1725043	161823	ADAL
ILMN_2148360	102	ADAM10
ILMN_1718946	102	ADAM10
ILMN_1711374	4185	ADAM11
ILMN_1726266	8038	ADAM12
ILMN_1705689	8038	ADAM12
ILMN_1785393	8038	ADAM12
ILMN_2384544	8751	ADAM15
ILMN_1756920	8751	ADAM15
ILMN_1799728	8751	ADAM15
ILMN_1751500	8751	ADAM15
ILMN_2121068	6868	ADAM17
ILMN_1765779	6868	ADAM17
ILMN_2201386	8749	ADAM18
ILMN_1682225	8728	ADAM19
ILMN_1788481	8728	ADAM19
ILMN_1713751	8728	ADAM19
ILMN_1662675	2515	ADAM2
ILMN_1737629	8748	ADAM20
ILMN_1812112	8747	ADAM21
ILMN_3241313	145241	ADAM21P
ILMN_1675210	53616	ADAM22
ILMN_1706302	53616	ADAM22
ILMN_2351754	53616	ADAM22
ILMN_2060086	8745	ADAM23
ILMN_1664236	10863	ADAM28
ILMN_1664631	10863	ADAM28
ILMN_1802100	10863	ADAM28
ILMN_2194158	11086	ADAM29
ILMN_2100871	11085	ADAM30
ILMN_1806841	203102	ADAM32
ILMN_1798045	203102	ADAM32
ILMN_2293012	203102	ADAM32
ILMN_1703383	203102	ADAM32
ILMN_1651657	80332	ADAM33
ILMN_1671297	80332	ADAM33
ILMN_1669486	1587	ADAM3A
